id,d,z,y,b,c,k
1,-6,0,0,0,0,0.05
2,-6,1,0,0,0,0.05
3,-6,2,0,0,0,0.05
4,-6,3,0,0,0,0.05
5,-6,4,0,0,0,0.05
6,-6,5,0,0,0,0.05
7,-5,0,0,0,0,0.05
8,-5,1,0,0,0,0.05
9,-5,2,0,0,0,0.05
10,-5,3,0,0,0,0.05
11,-5,4,0,0,0,0.05
12,-5,5,0,0,0,0.05
13,-4,0,0,0,0,0.05
14,-4,1,0,0,0,0.05
15,-4,2,0,0,0,0.05
16,-4,3,0,0,0,0.05
17,-4,4,0,0,0,0.05
18,-4,5,0,0,0,0.05
19,-3,0,0,0,0,0.05
20,-3,1,0,0,0,0.05
21,-3,2,0,0,0,0.05
22,-3,3,0,0,0,0.05
23,-3,4,0,0,0,0.05
24,-3,5,0,0,0,0.05
25,-2,0,0,0,0,0.05
26,-2,1,0,0,0,0.05
27,-2,2,0,0,0,0.05
28,-2,3,0,0,0,0.05
29,-2,4,0,0,0,0.05
30,-2,5,0,0,0,0.05
31,-1,0,0,0,0,0.05
32,-1,1,0,0,0,0.05
33,-1,2,0,0,0,0.05
34,-1,3,0,0,0,0.05
35,-1,4,0,0,0,0.05
36,-1,5,0,0,0,0.05
37,1,0,0,0,0,0.05
38,1,1,0,0,0,0.05
39,1,2,0,0,0,0.05
40,1,3,0,0,0,0.05
41,1,4,0,0,0,0.05
42,1,5,0,0,0,0.05
43,2,0,0,0,0,0.05
44,2,1,0,0,0,0.05
45,2,2,0,0,0,0.05
46,2,3,0,0,0,0.05
47,2,4,0,0,0,0.05
48,2,5,0,0,0,0.05
49,3,0,0,0,0,0.05
50,3,1,0,0,0,0.05
51,3,2,0,0,0,0.05
52,3,3,0,0,0,0.05
53,3,4,0,0,0,0.05
54,3,5,0,0,0,0.05
55,4,0,0,0,0,0.05
56,4,1,0,0,0,0.05
57,4,2,0,0,0,0.05
58,4,3,0,0,0,0.05
59,4,4,0,0,0,0.05
60,4,5,0,0,0,0.05
61,5,0,0,0,0,0.05
62,5,1,0,0,0,0.05
63,5,2,0,0,0,0.05
64,5,3,0,0,0,0.05
65,5,4,0,0,0,0.05
66,5,5,0,0,0,0.05
67,6,0,0,0,0,0.05
68,6,1,0,0,0,0.05
69,6,2,0,0,0,0.05
70,6,3,0,0,0,0.05
71,6,4,0,0,0,0.05
72,6,5,0,0,0,0.05
73,-6,0,1,0,0,0.05
74,-6,1,1,0,0,0.05
75,-6,2,1,0,0,0.05
76,-6,3,1,0,0,0.05
77,-6,4,1,0,0,0.05
78,-6,5,1,0,0,0.05
79,-5,0,1,0,0,0.05
80,-5,1,1,0,0,0.05
81,-5,2,1,0,0,0.05
82,-5,3,1,0,0,0.05
83,-5,4,1,0,0,0.05
84,-5,5,1,0,0,0.05
85,-4,0,1,0,0,0.05
86,-4,1,1,0,0,0.05
87,-4,2,1,0,0,0.05
88,-4,3,1,0,0,0.05
89,-4,4,1,0,0,0.05
90,-4,5,1,0,0,0.05
91,-3,0,1,0,0,0.05
92,-3,1,1,0,0,0.05
93,-3,2,1,0,0,0.05
94,-3,3,1,0,0,0.05
95,-3,4,1,0,0,0.05
96,-3,5,1,0,0,0.05
97,-2,0,1,0,0,0.05
98,-2,1,1,0,0,0.05
99,-2,2,1,0,0,0.05
100,-2,3,1,0,0,0.05
101,-2,4,1,0,0,0.05
102,-2,5,1,0,0,0.05
103,-1,0,1,0,0,0.05
104,-1,1,1,0,0,0.05
105,-1,2,1,0,0,0.05
106,-1,3,1,0,0,0.05
107,-1,4,1,0,0,0.05
108,-1,5,1,0,0,0.05
109,1,0,1,0,0,0.05
110,1,1,1,0,0,0.05
111,1,2,1,0,0,0.05
112,1,3,1,0,0,0.05
113,1,4,1,0,0,0.05
114,1,5,1,0,0,0.05
115,2,0,1,0,0,0.05
116,2,1,1,0,0,0.05
117,2,2,1,0,0,0.05
118,2,3,1,0,0,0.05
119,2,4,1,0,0,0.05
120,2,5,1,0,0,0.05
121,3,0,1,0,0,0.05
122,3,1,1,0,0,0.05
123,3,2,1,0,0,0.05
124,3,3,1,0,0,0.05
125,3,4,1,0,0,0.05
126,3,5,1,0,0,0.05
127,4,0,1,0,0,0.05
128,4,1,1,0,0,0.05
129,4,2,1,0,0,0.05
130,4,3,1,0,0,0.05
131,4,4,1,0,0,0.05
132,4,5,1,0,0,0.05
133,5,0,1,0,0,0.05
134,5,1,1,0,0,0.05
135,5,2,1,0,0,0.05
136,5,3,1,0,0,0.05
137,5,4,1,0,0,0.05
138,5,5,1,0,0,0.05
139,6,0,1,0,0,0.05
140,6,1,1,0,0,0.05
141,6,2,1,0,0,0.05
142,6,3,1,0,0,0.05
143,6,4,1,0,0,0.05
144,6,5,1,0,0,0.05
145,-6,0,2,0,0,0.05
146,-6,1,2,0,0,0.05
147,-6,2,2,0,0,0.05
148,-6,3,2,0,0,0.05
149,-6,4,2,0,0,0.05
150,-6,5,2,0,0,0.05
151,-5,0,2,0,0,0.05
152,-5,1,2,0,0,0.05
153,-5,2,2,0,0,0.05
154,-5,3,2,0,0,0.05
155,-5,4,2,0,0,0.05
156,-5,5,2,0,0,0.05
157,-4,0,2,0,0,0.05
158,-4,1,2,0,0,0.05
159,-4,2,2,0,0,0.05
160,-4,3,2,0,0,0.05
161,-4,4,2,0,0,0.05
162,-4,5,2,0,0,0.05
163,-3,0,2,0,0,0.05
164,-3,1,2,0,0,0.05
165,-3,2,2,0,0,0.05
166,-3,3,2,0,0,0.05
167,-3,4,2,0,0,0.05
168,-3,5,2,0,0,0.05
